journal,SJR
entertainment computing,"0,681"
evidence-based practice in child and adolescent mental health,"0,681"
ieee international conference on intelligent robots and systems,"0,681"
international journal of control,"0,681"
international journal of tourism cities,"0,681"
journal of women and minorities in science and engineering,"0,681"
luts,"0,681"
microbial risk analysis,"0,681"
palliative and supportive care,"0,681"
petroleum,"0,681"
public health in practice,"0,681"
review of evolutionary political economy,"0,681"
she ji,"0,681"
small wars and insurgencies,"0,681"
studies in graduate and postdoctoral education,"0,681"
teoria y realidad constitucional,"0,681"
clinical liver disease,"0,680"
communication research reports,"0,680"
dyes and pigments,"0,680"
"european heart journal, supplement","0,680"
international journal of educational management,"0,680"
international journal of managing projects in business,"0,680"
journal of cardiothoracic and vascular anesthesia,"0,680"
journal of engineering,"0,680"
mineral economics,"0,680"
public library quarterly,"0,680"
seminars in neurology,"0,680"
archnet-ijar,"0,679"
argumentation,"0,679"
atmosphere - ocean,"0,679"
health services insights,"0,679"
international journal of adhesion and adhesives,"0,679"
"journal of anesthesia, analgesia and critical care","0,679"
journal of tribology,"0,679"
orthopedic research and reviews,"0,679"
world archaeology,"0,679"
bulletin of the chemical society of japan,"0,678"
cranio - journal of craniomandibular practice,"0,678"
health and social work,"0,678"
heart lung and circulation,"0,678"
homicide studies,"0,678"
iet intelligent transport systems,"0,678"
international journal of data science and analytics,"0,678"
journal of behavioral education,"0,678"
journal of nonlinear and variational analysis,"0,678"
marine georesources and geotechnology,"0,678"
neuroscience insights,"0,678"
results in surfaces and interfaces,"0,678"
acarologia,"0,677"
current legal problems,"0,677"
exploration of targeted anti-tumor therapy,"0,677"
fibers,"0,677"
genome,"0,677"
international journal of clinical and experimental hypnosis,"0,677"
international journal of geosynthetics and ground engineering,"0,677"
international research in geographical and environmental education,"0,677"
international review of finance,"0,677"
international studies perspectives,"0,677"
jmir ai,"0,677"
journal of sedimentary research,"0,677"
marine biology,"0,677"
medical gas research,"0,677"
mediterranean journal of mathematics,"0,677"
neurotoxicology and teratology,"0,677"
nutrition and cancer,"0,677"
public health ethics,"0,677"
quaternary research,"0,677"
relieve - revista electronica de investigacion y evaluacion educativa,"0,677"
saudi pharmaceutical journal,"0,677"
tissue and cell,"0,677"
american journal of human biology,"0,676"
chronic obstructive pulmonary diseases,"0,676"
clinical neurophysiology practice,"0,676"
international journal of remote sensing,"0,676"
journal of communication management,"0,676"
journal of elliptic and parabolic equations,"0,676"
journal of quantitative spectroscopy and radiative transfer,"0,676"
journal of research in innovative teaching and learning,"0,676"
journal of scheduling,"0,676"
metallomics,"0,676"
neurogenetics,"0,676"
nfs journal,"0,676"
organometallics,"0,676"
physiological research,"0,676"
plastic and reconstructive surgery - global open,"0,676"
psychogeriatrics,"0,676"
revista de derecho politico,"0,676"
scandinavian journal of primary health care,"0,676"
vasa - european journal of vascular medicine,"0,676"
asian journal of urology,"0,675"
australasian journal of early childhood,"0,675"
australian journal of international affairs,"0,675"
biocatalysis and agricultural biotechnology,"0,675"
cellular and molecular bioengineering,"0,675"
current fungal infection reports,"0,675"
human factors and ergonomics in manufacturing and service industries,"0,675"
ieee multimedia,"0,675"
journal of research in nursing,"0,675"
journal of thermal spray technology,"0,675"
pharmacogenomics and personalized medicine,"0,675"
qualitative research in organizations and management,"0,675"
skeletal radiology,"0,675"
software - practice and experience,"0,675"
teaching education,"0,675"
children,"0,674"
deviant behavior,"0,674"
frontiers in conservation science,"0,674"
health data science,"0,674"
journal of adventure education and outdoor learning,"0,674"
journal of gastrointestinal and liver diseases,"0,674"
journal of management development,"0,674"
language and intercultural communication,"0,674"
revista brasileira de epidemiologia,"0,674"
shoulder and elbow,"0,674"
soft computing,"0,674"
curationis,"0,673"
current gene therapy,"0,673"
drugs - real world outcomes,"0,673"
european early childhood education research journal,"0,673"
fish physiology and biochemistry,"0,673"
greenhouse gases,"0,673"
integrative organismal biology,"0,673"
"intelligent systems in accounting, finance and management","0,673"
international journal of environmental research,"0,673"
international journal of green energy,"0,673"
journal of international students,"0,673"
language testing in asia,"0,673"
michigan mathematical journal,"0,673"
revista de ciencia politica,"0,673"
us endocrinology,"0,673"
al-risalah,"0,672"
communications,"0,672"
current diabetes reviews,"0,672"
expert opinion on pharmacotherapy,"0,672"
glass structures and engineering,"0,672"
iete technical review,"0,672"
international journal of interactive multimedia and artificial intelligence,"0,672"
international journal of science education,"0,672"
international journal of veterinary science and medicine,"0,672"
jcis open,"0,672"
journal of clinical orthopaedics and trauma,"0,672"
journal of moral education,"0,672"
nanomanufacturing and metrology,"0,672"
neural processing letters,"0,672"
new forests,"0,672"
obstetrics and gynecology science,"0,672"
pilot and feasibility studies,"0,672"
solid state ionics,"0,672"
written communication,"0,672"
american journal of the medical sciences,"0,671"
annales mathematiques du quebec,"0,671"
archival science,"0,671"
archives of virology,"0,671"
atherosclerosis plus,"0,671"
critical studies on security,"0,671"
egyptian journal of biological pest control,"0,671"
european journal of dental education,"0,671"
european political science,"0,671"
journal of maternal-fetal and neonatal medicine,"0,671"
journal of physical and chemical reference data,"0,671"
journal of the physical society of japan,"0,671"
next materials,"0,671"
nondestructive testing and evaluation,"0,671"
plant ecology,"0,671"
proteomics - clinical applications,"0,671"
statistical analysis and data mining,"0,671"
translational andrology and urology,"0,671"
translational journal of the american college of sports medicine,"0,671"
vocations and learning,"0,671"
asian herpetological research,"0,670"
bjpsych bulletin,"0,670"
capillarity,"0,670"
ciencia e saude coletiva,"0,670"
current dermatology reports,"0,670"
gynecological endocrinology,"0,670"
ieee transactions on semiconductor manufacturing,"0,670"
information systems and e-business management,"0,670"
journal of orthopaedics,"0,670"
journal of the mathematical society of japan,"0,670"
musculoskeletal surgery,"0,670"
ramanujan journal,"0,670"
ukrainian numismatic annual,"0,670"
asia-pacific journal of teacher education,"0,669"
canadian journal of economics,"0,669"
journal of dietary supplements,"0,669"
journal of special education,"0,669"
mathematische nachrichten,"0,669"
microbiology and immunology,"0,669"
physica a,"0,669"
translational issues in psychological science,"0,669"
annals of glaciology,"0,668"
biomedicine,"0,668"
comparative education review,"0,668"
current genetics,"0,668"
drying technology,"0,668"
international journal of mental health,"0,668"
journal of nutritional science,"0,668"
journal of physiological anthropology,"0,668"
medical cannabis and cannabinoids,"0,668"
mutation research - genetic toxicology and environmental mutagenesis,"0,668"
particles,"0,668"
"proceedings - icassp, ieee international conference on acoustics, speech and signal processing","0,668"
sage open medicine,"0,668"
geriatrics,"0,667"
international journal of endocrinology,"0,667"
international journal of health economics and management,"0,667"
journal of business economics,"0,667"
journal of urbanism,"0,667"
new solutions,"0,667"
recent patents on anti-cancer drug discovery,"0,667"
american law and economics review,"0,666"
arts and health,"0,666"
austral ecology,"0,666"
bioacoustics,"0,666"
computational geosciences,"0,666"
current behavioral neuroscience reports,"0,666"
european journal of environmental and civil engineering,"0,666"
journal of cancer education,"0,666"
journal of linguistic anthropology,"0,666"
journal of ophthalmic and vision research,"0,666"
journal of phenomenological psychology,"0,666"
sarcoma,"0,666"
translation and interpreting studies,"0,666"
acta palaeontologica polonica,"0,665"
biomass,"0,665"
diatom research,"0,665"
displays,"0,665"
european journal of management and business economics,"0,665"
health security,"0,665"
international journal of applied mechanics,"0,665"
international journal of listening,"0,665"
iza journal of development and migration,"0,665"
journal of egyptian public health association,"0,665"
journal of librarianship and information science,"0,665"
journal of statistical physics,"0,665"
journal of the korean ceramic society,"0,665"
journal of tissue engineering and regenerative medicine,"0,665"
meitiandizhi yu kantan/coal geology and exploration,"0,665"
palestine exploration quarterly,"0,665"
tobacco induced diseases,"0,665"
world development perspectives,"0,665"
admet and dmpk,"0,664"
american journal of otolaryngology - head and neck medicine and surgery,"0,664"
asean journal of science and engineering,"0,664"
bba advances,"0,664"
current opinion in otolaryngology and head and neck surgery,"0,664"
geodiversitas,"0,664"
international relations of the asia-pacific,"0,664"
journal of asian business and economic studies,"0,664"
language and communication,"0,664"
photogrammetric record,"0,664"
social work education,"0,664"
spectrochimica acta - part a,"0,664"
toxin reviews,"0,664"
translational medicine of aging,"0,664"
annals of thoracic medicine,"0,663"
asian journal of technology innovation,"0,663"
biomedical engineering letters,"0,663"
chronic diseases and translational medicine,"0,663"
international journal of immunopathology and pharmacology,"0,663"
journal of medicine and philosophy,"0,663"
journal of performance of constructed facilities,"0,663"
journal of tropical medicine,"0,663"
methods of information in medicine,"0,663"
oncology letters,"0,663"
thrombosis journal,"0,663"
ultrasound in medicine and biology,"0,663"
water resources and economics,"0,663"
annals of work exposures and health,"0,662"
calcolo,"0,662"
canadian journal of experimental psychology,"0,662"
ergebnisse der physiologie biologischen chemie und experimentellen pharmakologie,"0,662"
evolutionary psychology,"0,662"
focaal,"0,662"
gates open research,"0,662"
journal for the measurement of physical behaviour,"0,662"
journal of imaging,"0,662"
journal of king saud university - science,"0,662"
journal of pharmaceutical policy and practice,"0,662"
memory studies,"0,662"
mini-reviews in medicinal chemistry,"0,662"
advances in nursing science,"0,661"
annals of leisure research,"0,661"
annals of nuclear medicine,"0,661"
bioactive carbohydrates and dietary fibre,"0,661"
breeding science,"0,661"
business economics,"0,661"
clinical and experimental nephrology,"0,661"
diabetology,"0,661"
discrete applied mathematics,"0,661"
international journal of historical archaeology,"0,661"
ocean dynamics,"0,661"
political science quarterly,"0,661"
ps - political science and politics,"0,661"
psychiatric rehabilitation journal,"0,661"
results in materials,"0,661"
urban design international,"0,661"
willdenowia,"0,661"
annals of public and cooperative economics,"0,660"
bioenergy research,"0,660"
"biofuels, bioproducts and biorefining","0,660"
bioprocess and biosystems engineering,"0,660"
current research in physiology,"0,660"
elementary school journal,"0,660"
environmental conservation,"0,660"
ieee open journal of circuits and systems,"0,660"
infrastructures,"0,660"
journal of cardiovascular surgery,"0,660"
journal of circulating biomarkers,"0,660"
journal of conservative dentistry and endodontics,"0,660"
journal of geriatric physical therapy,"0,660"
knowledge management and e-learning,"0,660"
lifetime data analysis,"0,660"
manuscripta mathematica,"0,660"
optimization letters,"0,660"
qualitative report,"0,660"
reviews on advanced materials science,"0,660"
analytic philosophy,"0,659"
applied biochemistry and biotechnology,"0,659"
canadian journal of occupational therapy,"0,659"
cost effectiveness and resource allocation,"0,659"
development policy review,"0,659"
ethics and behavior,"0,659"
expert review of cardiovascular therapy,"0,659"
international journal of clinical practice,"0,659"
international journal of nephrology,"0,659"
international journal of water resources development,"0,659"
journal of academic ethics,"0,659"
journal of investigative medicine,"0,659"
journal of physics a,"0,659"
nephron,"0,659"
operational research,"0,659"
"water, air, and soil pollution","0,659"
water environment research,"0,659"
aging medicine,"0,658"
"american journal of medical genetics, part b","0,658"
avian pathology,"0,658"
bmc chemistry,"0,658"
fatigue,"0,658"
graphs and combinatorics,"0,658"
indoor and built environment,"0,658"
innovation and development,"0,658"
international journal of computer assisted radiology and surgery,"0,658"
journal of breast imaging,"0,658"
journal of contingencies and crisis management,"0,658"
journal of international trade and economic development,"0,658"
paediatric anaesthesia,"0,658"
polymer bulletin,"0,658"
psicologia educativa,"0,658"
review of palaeobotany and palynology,"0,658"
transport in porous media,"0,658"
world journal of oncology,"0,658"
chemical research in chinese universities,"0,657"
corpus linguistics and linguistic theory,"0,657"
international regional science review,"0,657"
journal of competitiveness,"0,657"
journal of current chinese affairs,"0,657"
journal of marine engineering and technology,"0,657"
journal of molecular histology,"0,657"
journal of statistical planning and inference,"0,657"
melanoma research,"0,657"
nazhruna,"0,657"
nuclear science and engineering,"0,657"
numerical functional analysis and optimization,"0,657"
reflective practice,"0,657"
research ethics,"0,657"
top,"0,657"
urolithiasis,"0,657"
adsorption,"0,656"
aids education and prevention,"0,656"
bmc nutrition,"0,656"
communications in algebra,"0,656"
electronic structure,"0,656"
international journal of phytoremediation,"0,656"
journal of educational research,"0,656"
journal of public health research,"0,656"
knowledge and process management,"0,656"
mammalian biology,"0,656"
nursing administration quarterly,"0,656"
plos water,"0,656"
south asian journal of business studies,"0,656"
surgery today,"0,656"
trauma surgery and acute care open,"0,656"
asia-pacific journal of atmospheric sciences,"0,655"
clinical nursing research,"0,655"
extremophiles,"0,655"
functional plant biology,"0,655"
journal of anatomy,"0,655"
journal of ethnobiology,"0,655"
journal of pediatric orthopaedics,"0,655"
journal of political institutions and political economy,"0,655"
journal of social work,"0,655"
journal of the canadian urological association,"0,655"
journal of tissue viability,"0,655"
physical biology,"0,655"
smart structures and systems,"0,655"
american journal of lifestyle medicine,"0,654"
australian and new zealand journal of obstetrics and gynaecology,"0,654"
chemometrics and intelligent laboratory systems,"0,654"
federal reserve bank of st. louis review,"0,654"
frontiers in astronomy and space sciences,"0,654"
german journal of exercise and sport research,"0,654"
journal for general philosophy of science,"0,654"
journal of applied phycology,"0,654"
journal of clinical neuroscience,"0,654"
journal of evolutionary economics,"0,654"
journal of global history,"0,654"
journal of material cycles and waste management,"0,654"
journal of nursing administration,"0,654"
modeling earth systems and environment,"0,654"
quaternary science advances,"0,654"
radiography,"0,654"
sexual medicine,"0,654"
advances in applied probability,"0,653"
antarctic science,"0,653"
asian studies review,"0,653"
child and family social work,"0,653"
clinical nuclear medicine,"0,653"
current molecular pharmacology,"0,653"
dalton transactions,"0,653"
international journal of communication,"0,653"
international journal of sustainable engineering,"0,653"
international orthodontics,"0,653"
journal of economic entomology,"0,653"
neuroimmunomodulation,"0,653"
radiation research,"0,653"
scientific world journal,"0,653"
veterinary sciences,"0,653"
birth defects research,"0,652"
british journal of oral and maxillofacial surgery,"0,652"
buildings,"0,652"
cognitive neuropsychiatry,"0,652"
english language and linguistics,"0,652"
journal of biomolecular nmr,"0,652"
journal of composites science,"0,652"
journal of eye movement research,"0,652"
journal of social studies research,"0,652"
mathematical logic quarterly,"0,652"
oryx,"0,652"
social psychological bulletin,"0,652"
allergy and asthma proceedings,"0,651"
canadian journal of kidney health and disease,"0,651"
dizhi xuebao/acta geologica sinica,"0,651"
earth and planetary physics,"0,651"
european journal of mineralogy,"0,651"
european journal of tourism research,"0,651"
informatics,"0,651"
international finance,"0,651"
international journal of hematology,"0,651"
journal of foot and ankle surgery,"0,651"
journal of micropalaeontology,"0,651"
journal of privacy and confidentiality,"0,651"
journal of sea research,"0,651"
journal of sex and marital therapy,"0,651"
journal of vertebrate paleontology,"0,651"
jvc/journal of vibration and control,"0,651"
multilingua,"0,651"
new microbes and new infections,"0,651"
occupational therapy international,"0,651"
queueing systems,"0,651"
seminars in oncology nursing,"0,651"
swarm intelligence,"0,651"
teaching of psychology,"0,651"
australian occupational therapy journal,"0,650"
blood research,"0,650"
canadian journal of mineralogy and petrology,"0,650"
cjc open,"0,650"
communication reports,"0,650"
forensic chemistry,"0,650"
frontiers in education,"0,650"
international journal of bullying prevention,"0,650"
international journal of dentistry,"0,650"
journal of food protection,"0,650"
journal of physics d,"0,650"
journal of terramechanics,"0,650"
leiden journal of international law,"0,650"
parasite,"0,650"
toxicology mechanisms and methods,"0,650"
tuberculosis,"0,650"
asia pacific allergy,"0,649"
clinical endoscopy,"0,649"
frontiers in tropical diseases,"0,649"
histology and histopathology,"0,649"
international nano letters,"0,649"
jddg - journal of the german society of dermatology,"0,649"
journal of petroleum exploration and production,"0,649"
journal of the american psychiatric nurses association,"0,649"
organisms diversity and evolution,"0,649"
practical neurology,"0,649"
utilitas,"0,649"
acm transactions on the web,"0,648"
agribusiness,"0,648"
foot and ankle specialist,"0,648"
frontiers in radiology,"0,648"
health informatics journal,"0,648"
hereditary cancer in clinical practice,"0,648"
information,"0,648"
international journal of nursing knowledge,"0,648"
journal of health organization and management,"0,648"
journal of integrative and complementary medicine,"0,648"
"journal of stomatology, oral and maxillofacial surgery","0,648"
lingua,"0,648"
medcomm - future medicine,"0,648"
nad nordic studies on alcohol and drugs,"0,648"
palaeobiodiversity and palaeoenvironments,"0,648"
acta psychologica sinica,"0,647"
annales de dermatologie et de venereologie,"0,647"
astronomy and computing,"0,647"
biomimetics,"0,647"
child neuropsychology,"0,647"
ecological complexity,"0,647"
european journal of ophthalmology,"0,647"
foundations and trends in theoretical computer science,"0,647"
frontiers in sustainability,"0,647"
fruit research,"0,647"
horticulturae,"0,647"
identities,"0,647"
international journal of breast cancer,"0,647"
journal of advanced academics,"0,647"
journal of experimental zoology part a,"0,647"
journal of mathematical physics,"0,647"
journal of paleontology,"0,647"
journal of social archaeology,"0,647"
journal of thermal biology,"0,647"
neoplasma,"0,647"
occupational medicine,"0,647"
organic electronics,"0,647"
parasite immunology,"0,647"
petroleum geoscience,"0,647"
schizophrenia research and treatment,"0,647"
seminars in pediatric neurology,"0,647"
south atlantic quarterly,"0,647"
syariah,"0,647"
tuberculosis and respiratory diseases,"0,647"
animal diseases,"0,646"
canadian journal of pain,"0,646"
carbon trends,"0,646"
communications on applied mathematics and computation,"0,646"
entrepreneurial business and economics review,"0,646"
international journal of architectural heritage,"0,646"
international journal of dairy technology,"0,646"
international journal of metalcasting,"0,646"
international journal of public sector management,"0,646"
irish educational studies,"0,646"
journal of civil engineering education,"0,646"
journal of early intervention,"0,646"
journal of environmental exposure assessment,"0,646"
journal of plant biology,"0,646"
journal of quality assurance in hospitality and tourism,"0,646"
"journal of race, ethnicity and politics","0,646"
journal of the royal statistical society. series c,"0,646"
journal of vascular and interventional radiology,"0,646"
latin american politics and society,"0,646"
membranes,"0,646"
molecular diversity,"0,646"
revista eurolatinoamericana de derecho administrativo,"0,646"
advances in production engineering and management,"0,645"
advances in rheumatology,"0,645"
chemnanomat,"0,645"
evolutionary ecology,"0,645"
health care management science,"0,645"
international journal of comparative sociology,"0,645"
issues in mental health nursing,"0,645"
journal of contemporary psychotherapy,"0,645"
journal of the american psychoanalytic association,"0,645"
journal of transportation engineering part b,"0,645"
open access rheumatology,"0,645"
"proceedings - symposium on the high performance interconnects, hot interconnects","0,645"
solid earth sciences,"0,645"
waste and biomass valorization,"0,645"
annals of neurosciences,"0,644"
brazilian journal of infectious diseases,"0,644"
chinese journal of sociology,"0,644"
geometriae dedicata,"0,644"
heliyon,"0,644"
intellectual and developmental disabilities,"0,644"
journal of bioenergetics and biomembranes,"0,644"
journal of food products marketing,"0,644"
rehabilitation counseling bulletin,"0,644"
review of black political economy,"0,644"
transactions of the royal society of tropical medicine and hygiene,"0,644"
ajob empirical bioethics,"0,643"
biophysical chemistry,"0,643"
chinese management studies,"0,643"
demonstratio mathematica,"0,643"
facies,"0,643"
fisheries management and ecology,"0,643"
information technology and management,"0,643"
joint diseases and related surgery,"0,643"
journal of aging and social policy,"0,643"
journal of behavioral and experimental economics,"0,643"
journal of interventional cardiology,"0,643"
journal of moral philosophy,"0,643"
journal of politics in latin america,"0,643"
open access journal of sports medicine,"0,643"
pastoralism,"0,643"
pediatric quality and safety,"0,643"
systematic and applied acarology,"0,643"
tribology letters,"0,643"
aquatic sciences,"0,642"
basic and clinical andrology,"0,642"
criminology and criminal justice,"0,642"
"daru, journal of pharmaceutical sciences","0,642"
diagnosis,"0,642"
"financial markets, institutions and instruments","0,642"
foreign affairs,"0,642"
international clinical psychopharmacology,"0,642"
international ophthalmology,"0,642"
journal of behavioral and cognitive therapy,"0,642"
journal of education and work,"0,642"
journal of emerging technologies in accounting,"0,642"
journal of urban design,"0,642"
molecular imaging and biology,"0,642"
public money and management,"0,642"
topoi,"0,642"
aaps pharmscitech,"0,641"
advances in protein chemistry and structural biology,"0,641"
"aging, neuropsychology, and cognition","0,641"
analytical science advances,"0,641"
corporate reputation review,"0,641"
eksploatacja i niezawodnosc,"0,641"
european journal of dentistry,"0,641"
evolutionary psychological science,"0,641"
group decision and negotiation,"0,641"
iet electrical systems in transportation,"0,641"
illinois journal of mathematics,"0,641"
international journal of immunogenetics,"0,641"
journal of fish biology,"0,641"
journal of government and economics,"0,641"
journal of mammalogy,"0,641"
journal of physics,"0,641"
journal of soft computing and data mining,"0,641"
laryngoscope investigative otolaryngology,"0,641"
quarterly of applied mathematics,"0,641"
seminars in reproductive medicine,"0,641"
spirituality in clinical practice,"0,641"
archives of rehabilitation research and clinical translation,"0,640"
biological journal of the linnean society,"0,640"
clinical and experimental dental research,"0,640"
corrosion and materials degradation,"0,640"
european journal on criminal policy and research,"0,640"
frontiers in earth science,"0,640"
journal of aesthetics and art criticism,"0,640"
journal of hydrology and hydromechanics,"0,640"
journal of the australian library and information association,"0,640"
journal of umm al-qura university for applied sciences,"0,640"
journal of web semantics,"0,640"
language and cognition,"0,640"
lethaia,"0,640"
linguistic landscape,"0,640"
linguistic variation,"0,640"
mobilization,"0,640"
neurotrauma reports,"0,640"
phonetica,"0,640"
systematics and biodiversity,"0,640"
thermochimica acta,"0,640"
zeitschrift fur medizinische physik,"0,640"
geojournal,"0,639"
international journal of building pathology and adaptation,"0,639"
natural language engineering,"0,639"
pain management nursing,"0,639"
therapeutic advances in gastrointestinal endoscopy,"0,639"
water conservation and management,"0,639"
advances in continuous and discrete models,"0,638"
australasian orthodontic journal,"0,638"
british journal of aesthetics,"0,638"
chest pulmonary,"0,638"
conference record - international conference on communications,"0,638"
educational studies - aesa,"0,638"
journal of cotton research,"0,638"
journal of hymenoptera research,"0,638"
polymers for advanced technologies,"0,638"
urban research and practice,"0,638"
american journal of medicine open,"0,637"
animal reproduction science,"0,637"
archives of microbiology,"0,637"
clinical otolaryngology,"0,637"
dna and cell biology,"0,637"
experimental brain research,"0,637"
journal of comparative physiology a,"0,637"
neuropeptides,"0,637"
skin therapy letter,"0,637"
visual computer,"0,637"
water science and technology,"0,637"
accountability in research,"0,636"
advances in applied clifford algebras,"0,636"
china offshore oil and gas,"0,636"
fractals,"0,636"
ieee journal on miniaturization for air and space systems,"0,636"
international journal of fracture,"0,636"
journal of addictive diseases,"0,636"
journal of disability policy studies,"0,636"
journal of human lactation,"0,636"
journal of nursing education,"0,636"
journal of reproduction and development,"0,636"
journal of research on leadership education,"0,636"
korean journal of chemical engineering,"0,636"
polymer international,"0,636"
transactions of atmospheric sciences,"0,636"
acm journal of experimental algorithmics,"0,635"
asian journal of control,"0,635"
clinical and applied thrombosis/hemostasis,"0,635"
current genomics,"0,635"
earth science informatics,"0,635"
journal of healthcare management,"0,635"
journal of marketing for higher education,"0,635"
journal of women and aging,"0,635"
molecular and cellular probes,"0,635"
nongye jixie xuebao/transactions of the chinese society for agricultural machinery,"0,635"
proceedings of the international symposium on power semiconductor devices and ics,"0,635"
sensors and diagnostics,"0,635"
sexualities,"0,635"
toxicological research,"0,635"
university of toronto law journal,"0,635"
ai magazine,"0,634"
gender and language,"0,634"
issues in accounting education,"0,634"
journal of neurovirology,"0,634"
journal of physical chemistry a,"0,634"
journal of risk research,"0,634"
lymphatic research and biology,"0,634"
mediterranean politics,"0,634"
"memory, mind and media","0,634"
mining science and technology,"0,634"
optometry and vision science,"0,634"
"proceedings of the ieee workshop on computers in power electronics, compel","0,634"
sociological bulletin,"0,634"
zhongguo shiyou daxue xuebao/journal of china university of petroleum,"0,634"
acm transactions on computer systems,"0,633"
acta naturae,"0,633"
atmosphere,"0,633"
"blood cells, molecules, and diseases","0,633"
crystal growth and design,"0,633"
cultural studies,"0,633"
development growth and differentiation,"0,633"
diagnostic microbiology and infectious disease,"0,633"
electronic journal of linear algebra,"0,633"
frontiers in animal science,"0,633"
fungal ecology,"0,633"
human fertility,"0,633"
international journal of agriculture and biosciences,"0,633"
international journal of wine business research,"0,633"
journal of aging research,"0,633"
journal of early childhood literacy,"0,633"
journal of health care for the poor and underserved,"0,633"
journal of natural pesticide research,"0,633"
minerva anestesiologica,"0,633"
peabody journal of education,"0,633"
"psychology, crime and law","0,633"
quantitative imaging in medicine and surgery,"0,633"
river research and applications,"0,633"
universal access in the information society,"0,633"
applied and environmental soil science,"0,632"
canadian geographies/geographies canadiennes,"0,632"
chinese clinical oncology,"0,632"
clinical and experimental emergency medicine,"0,632"
egyptian journal of aquatic research,"0,632"
hip and pelvis,"0,632"
iet nanodielectrics,"0,632"
international journal of the commons,"0,632"
israel journal of health policy research,"0,632"
journal of emergency nursing,"0,632"
journal of futures markets,"0,632"
journal of health and pollution,"0,632"
psicologia,"0,632"
skin research and technology,"0,632"
weed science,"0,632"
aem education and training,"0,631"
artificial organs,"0,631"
computational and applied mathematics,"0,631"
dairy,"0,631"
developmental and comparative immunology,"0,631"
european journal of medicinal chemistry reports,"0,631"
geophysical prospecting,"0,631"
global policy,"0,631"
head and face medicine,"0,631"
heritage science,"0,631"
"homology, homotopy and applications","0,631"
indian journal of ophthalmology,"0,631"
international journal of quality and reliability management,"0,631"
international journal of telemedicine and applications,"0,631"
international relations,"0,631"
"journal of accounting, auditing and finance","0,631"
journal of animal physiology and animal nutrition,"0,631"
journal of child and adolescent psychiatric nursing,"0,631"
parasitology,"0,631"
vector-borne and zoonotic diseases,"0,631"
veterinary radiology and ultrasound,"0,631"
animal migration,"0,630"
archives of oral biology,"0,630"
biotech,"0,630"
cognitive neuroscience,"0,630"
ieee international symposium on information theory - proceedings,"0,630"
international neurourology journal,"0,630"
journal of bioscience and bioengineering,"0,630"
journal of clinical densitometry,"0,630"
journal of financial services marketing,"0,630"
journal of social and political psychology,"0,630"
journal of south american earth sciences,"0,630"
magnetic resonance imaging,"0,630"
mathematical methods in the applied sciences,"0,630"
"weather, climate, and society","0,630"
aci structural journal,"0,629"
child and adolescent social work journal,"0,629"
educational research for policy and practice,"0,629"
fermentation,"0,629"
gynecologic and obstetric investigation,"0,629"
international journal for uncertainty quantification,"0,629"
international journal of child care and education policy,"0,629"
journal of criminology,"0,629"
journal of food and drug analysis,"0,629"
journal of information science,"0,629"
journal of natural products,"0,629"
journal of palaeogeography,"0,629"
journal of preventive medicine and hygiene,"0,629"
journal of solid state chemistry,"0,629"
nano communication networks,"0,629"
photochemical and photobiological sciences,"0,629"
"proceedings of the institution of mechanical engineers, part f","0,629"
respiratory care,"0,629"
talanta open,"0,629"
breastfeeding medicine,"0,628"
canadian journal of agricultural economics,"0,628"
climate change economics,"0,628"
frontiers in human dynamics,"0,628"
frontiers in rehabilitation sciences,"0,628"
gms german medical science,"0,628"
iranian journal of basic medical sciences,"0,628"
journal of interferon and cytokine research,"0,628"
journal of molecular structure,"0,628"
journal of pharmaceutical and biomedical analysis,"0,628"
nurse educator,"0,628"
phycology,"0,628"
psychology of consciousness,"0,628"
studia logica,"0,628"
vision research,"0,628"
acta sedimentologica sinica,"0,627"
acta sociologica,"0,627"
antiviral therapy,"0,627"
clinical eeg and neuroscience,"0,627"
international journal of impotence research,"0,627"
international journal of the sociology of language,"0,627"
journal of computational biology,"0,627"
journal of developmental origins of health and disease,"0,627"
microbial drug resistance,"0,627"
odontology / the society of the nippon dental university,"0,627"
biomaterial investigations in dentistry,"0,626"
clinical parkinsonism and related disorders,"0,626"
du bois review,"0,626"
ieee transactions on games,"0,626"
international development planning review,"0,626"
international journal of polymer science,"0,626"
jinshu xuebao/acta metallurgica sinica,"0,626"
journal of community genetics,"0,626"
journal of environmental radioactivity,"0,626"
journal of hydro-environment research,"0,626"
journal of intellectual disabilities,"0,626"
journal of political power,"0,626"
soil science and plant nutrition,"0,626"
sustainable and resilient infrastructure,"0,626"
sustainable development of mountain territories,"0,626"
tertiary education and management,"0,626"
value in health regional issues,"0,626"
advances in biology and earth sciences,"0,625"
applied animal behaviour science,"0,625"
automated software engineering,"0,625"
avicenna journal of phytomedicine,"0,625"
clinical and experimental pharmacology and physiology,"0,625"
eurasian mathematical journal,"0,625"
family medicine,"0,625"
fiscal studies,"0,625"
foresight,"0,625"
international journal of photoenergy,"0,625"
interventional neuroradiology,"0,625"
journal of advances in medical education and professionalism,"0,625"
journal of animal breeding and genetics,"0,625"
journal of computational social science,"0,625"
journal of food quality,"0,625"
lasers in medical science,"0,625"
lighting research and technology,"0,625"
macroeconomic dynamics,"0,625"
particle and particle systems characterization,"0,625"
peerj,"0,625"
review of development economics,"0,625"
systems microbiology and biomanufacturing,"0,625"
telecom,"0,625"
